序号,题目内容,选项A,选项B,选项C,选项D,正确答案
46,在网上进行用户注册，设置用户密码时应当,涉及财产、支付类账户的密码应采用高强度密码,设置123456等简单好记的数字、字母为密码,所有账号都是一种密码，方便使用,使用自己或父母生日作为密码,A
47,下列不属于收集个人信息的合法性要求的有,不得欺诈、诱骗、强迫个人信息主体提供其个人信息,隐瞒产品或服务所具有的收集个人信息的功能,不得从非法渠道获取个人信息,不得收集法律法规明令禁止收集的个人信息,B
48,在某电子商务网站购物时，卖家突然说交易出现异常，并推荐处理异常的客服人员。以下最恰当的做法是,直接和推荐的客服人员联系,如果对方是信用比较好的卖家，可以相信,通过电子商务官网上寻找正规的客服电话或联系方式，并进行核实,如果对方是经常交易的老卖家，可以相信,C
49,你收到一条10086发来的短信，短信内容是这样的：“尊敬的用户，您好。您的手机号码实名制认证不通过，请到XXX网站进行实名制验证，否则您的手机号码将会在24小时之内被停机”，请问，这可能是遇到了什么情况,手机号码没有实名制认证,实名制信息与本人信息不对称，没有被审核通过,手机号码之前被其他人使用过,伪基站诈骗,D
50,刘同学喜欢玩网络游戏。某天他正玩游戏，突然弹出一个窗口，提示：特大优惠！1元可购买10000元游戏币！点击链接后，在此网站输入银行卡账号和密码，网上支付后发现自己银行卡里的钱都没了。结合本实例，对发生问题的原因描述正确的是,电脑被植入木马,用钱买游戏币,轻信网上的类似“特大优惠”的欺骗链接，并透露了自己的银行卡号、密码等私密信息导致银行卡被盗刷,使用网银进行交易,C
51,李同学浏览网页时弹出“新版游戏，免费玩，点击就送大礼包”的广告，李同学点了之后发现是个网页游戏，提示：“请安装插件”，请问，这种情况应该怎么办最合适？,为了领取大礼包，安装插件之后玩游戏,网页游戏一般是不需要安装插件的，这种情况骗局的可能性非常大，不建议打开,询问朋友是否玩过这个游戏，朋友如果说玩过，那应该没事,先将操作系统做备份，如果安装插件之后有异常，大不了恢复系统,B
52,互联网世界中有一个著名的说法：“你永远不知道网络的对面是一个人还是一条狗”，这段话表明，网络安全中,身份认证的重要性和迫切性,网络上所有的活动都是不可见的,网络应用中存在不严肃性,计算机网络中不存在真实信息,A
53,青少年在使用网络中，正确的行为是,把网络作为生活的全部,善于运用网络帮助学习和工作，学会抵御网络上的不良诱惑,利用网络技术窃取别人的信息,沉迷网络游戏,B
54,王女士的一个正在国外进修的朋友，晚上用 QQ 联系王女士，聊了些近况并谈及国外信用卡的便利，问王女士用的什么信用卡，并好奇地让其发信用卡正反面的照片给他，要比较下国内外信用卡的差别。王女士有点犹豫，就拨通了朋友的电话，结果朋友说 QQ 被盗了。那么不法分子为什么要信用卡的正反面照片呢,对比国内外信用卡的区别,复制该信用卡卡片,可获得卡号、有效期和 CVV（未三位数）该三项信息，通过网络支付,收藏不同图案的信用卡图片,C
55,网盘是非常方便的电子资料存储流转工具。不仅不占用空间，而且在任何电脑上都能访问，下面这些使用网盘的做法中，哪一项会造成个人隐私信息泄露的风险,将自己的信息分类，不需要的信息例如游戏文件、视频文件上传到云盘，个人身份证等信息存放在自己的电脑上,自己的照片等信息加密后再存储到云盘，或者使用云盘的保密文件夹功能,将所有信息保存在云盘，设置一个复杂的云盘密码，然后将密码信息保存电脑硬盘的文件夹中,认真研究云盘的功能，设置云盘的强密码，谨慎使用分享功能,C
56,按照国家网络安全等级划分方法，定级对象共分为几个等级,三,四,五,六,C
57,以下哪种类型的数据保护级别最低,机密数据,敏感数据,个人数据,公开数据,D
58,邮件炸弹攻击主要是,破坏被攻击者邮件服务器,恶意利用垃圾数据塞满被攻击者邮箱,破坏被攻击者邮件客户端,猜解受害者的邮箱口令,B
59,许多黑客都利用系统和软件中的漏洞进行攻击，对此，以下最有效的解决方案是什么,安装防火墙,安装入侵检测系统,给系统和软件更新安装最新的补丁,安装防病毒软件,C
60,关于黑客的主要攻击手段，以下描述不正确的是,包括社会工程学攻击,包括暴力破解攻击,直接渗透攻击,不盗窃系统资料,D
61,属于操作系统自身的安全漏洞的是,操作系统自身存在的“后门”,QQ 木马病毒,管理员账户设置弱口令,电脑中防火墙未作任何访问限制,A
62,用户暂时离开时，锁定 Windows 系统以免其他人非法使用。锁定系统的快捷方式为同时按住,WIN 键和 Z 键,F1 键和 L 键,WIN 键和 L 键,F1 键和 Z 键,C
63,以下哪项不属于防止口令被猜测的措施,严格限定从一个给定的终端进行认证的次数,确保口令不在终端上再现,防止用户使用太短的口令,使用机器产生的口令,B
64,防范特洛伊木马软件进入学校网络最好的选择是,部署击键监控程序,部署病毒扫描应用软件,部署状态检测防火墙,部署调试器应用程序,B
65,数据被非法篡改破坏了信息安全的什么属性,保密性,完整性,不可否认性,可用性,B
66,对网络系统进行渗透测试，通常是按什么顺序来进行的,控制阶段、侦查阶段、入侵阶段,入侵阶段、侦查阶段、控制阶段,侦查阶段、入侵阶段、控制阶段,侦查阶段、控制阶段、入侵阶段,C
67,浏览某些网站时，网站为了辨别用户身份进行 session 跟踪，而储存在本地终端上的数据是,收藏夹,书签,COOKIE,https,C
68,世界上首例通过网络攻击瘫痪物理核设施的事件是,巴基斯坦核电站震荡波事件,以色列核电站冲击波事件,伊朗核电站震荡波事件,伊朗核电站震网(Stuxnet)事件,D
69,发现个人电脑感染病毒，断开网络的目的是,影响上网速度,担心数据被泄露电脑被损坏,控制病毒向外传播,防止计算机被病毒进一步感染,B
70,以下防治病毒的方法中错误的是,定期修补漏洞，安装补丁,安装杀毒软件,定期备份数据,拒绝任何数据交换,D
71,在登录系统时，多次输入密码错误后账号被锁定，这可以防止,木马,暴力破解,IP 欺骗,缓存溢出攻击,B
72,在网络访问过程中，为了防御网络监听，最常用的方法是,采用物理传输(非网络),对信息传输进行加密,进行网络伪装,进行网络压制,B
73,要安全浏览网页，不应该,在公用计算机上使用“自动登录”和“记住密码”功能,禁止开启 ActiveX 控件和 Java 脚本,定期清理浏览器 Cookies,定期清理浏览器缓存和上网历史记录,A
74,通常情况下对涉密信息系统施以保护都是按照分级原则进行分级实施的。涉密系统的安全管理级别不包括,秘密级,机密级,普密级,绝密级,C
75,提倡文明上网，健康生活，我们不应该有下列哪种行为,在网上对他人进行人身攻击,自觉抵制网上的虚假、低俗内容,浏览合法网站，玩健康网络游戏,不信谣，不传谣，不造谣,A
76,张同学发现安全软件提醒自己的电脑有系统漏洞，如果你是张同学，最恰当的做法是,立即更新补丁，修复漏洞,不与理睬，继续使用电脑,暂时搁置，一天之后再提醒修复漏洞,重启电脑,A
77,网络安全领域，把已经被发现，但相关软件厂商还没有进行修复的漏洞叫什么漏洞,0day漏洞,DDAY漏洞,无痕漏洞,黑客漏洞,A
78,以下不属于电脑病毒特点的是,寄生性,传染性,潜伏性,唯一性,D
79,下面关于我们使用的网络是否安全的正确表述是,安装了防火墙，网络是安全的,设置了复杂的密码，网络是安全的,安装了防火墙和杀毒软件，网络是安全的,没有绝对安全的网络，使用者要时刻提高警惕，谨慎操作,D
80,为了确保电子邮件中邮件内容的安全，应该采用以下哪种方式比较恰当,电子邮件发送时要加密，并注意不要错发,电子邮件不需要加密码,只要向接收者正常发送就可以了,使用移动终端发送邮件,A
81,使用微信时可能存在安全隐患的行为是,关闭“加我为朋友时需要验证”选项,取消“允许陌生人查看10张照片”功能,设置独立帐号密码，不与其他账号共用,安装防病毒软件，从官网下载正版微信,A
82,下列有关即时通讯工具服务提供者的说法，错误的是,即时通信工具服务提供者应当遵循“后台实名、前台自愿”的原则,即时通信工具服务提供者应当对可以发布或转移时政类新闻的公众账号加注标识,即时通信工具服务使用者为从事公众信息服务活动开设公众账号，应当经即时通信工具服务提供者审核,即时通信工具服务提供者无需取得相关资质,D
83,定期对系统和数据进行备份，在发生灾难时进行恢复，是为了保证信息的,机密性,完整性,不可否认性,可用性,D
84,行为人通过计算机操作所实施的危害计算机信息安全以及其他严重危害社会的并应当处以刑罪的行为是,破坏公共财物,破坏他人财产,计算机犯罪,故意伤害他人,C
85,以下哪种不属于国家秘密,国家事务重大决策中的秘密事项,国防建设和武装力量活动中的秘密事项,外交活动中的秘密事项,公司的工资薪酬数据,D
86,以下哪种方法可以有效避免个人信息的泄露,扫描朋友圈中的“线上兼职”二维码下载 APP 注册,在各种“省流量版”“优惠版”APP 中填写个人敏感信息，如身份证号、银行卡号等,从官方应用商店下载官方应用并合理使用,频繁浏览赌博网页,C
87,对于电信诈骗，以下哪项描述是不正确的,电信诈骗是利用人们的心理弱点,电信诈骗也是一种欺骗的手段,电信诈骗的主要目的是破坏硬件,电信诈骗需要对人进行研究,C
88,以下哪一项不属于犯罪,通过网络骗取他人的信任，从而获取有用的信息,通过网络搜集他人的信息，尝试破解他人的账号密码,通过网络发布求职信息,通过技术手段拦截他人的网络通信,C
89,对于电信和网络诈骗的防范，应该注意下列哪项内容,不轻易相信陌生人,收到“领导”的邮件或电话命令，应通过手机或面对面的形式确认命令,加强个人信息安全意识,以上都是,D
90,以下关于口令安全的说法，错误的是,一般情况下，设置口令时，应保证口令最小长度为6位,最长90天进行一次口令更改,口令应至少包含数字、大小写字母及特殊符号中的任意两种字符,为避免遗忘，应将口令设置为生日、电话号码等容易记忆的内容,D
91,下列关于口令持有人保证口令保密性的做法正确的是,将口令记录的笔记本中,将口令贴在计算机机箱或终端屏幕上,将计算机系统用户口令借给他人使用,一旦发现或怀疑计算机系统用户口令泄露，立即更换,D
92,QQ 上，许久未联系的大学室友发信息过来说自己被派出所抓了，要交 1000 元罚款，自己不敢和家里人说，求你先汇 1000 元到民警的账户上，出来后马上还你，你怎么办,这个室友关系不错，先给他汇过去吧,估计是骗子，不理他,先打电话给他核实，然后汇钱,打电话给他核实，如真有必要，亲自送钱去派出所,B
93,个人信息安全最大的威胁是,木马病毒、蠕虫病毒等恶意代码,自身技术水平不足,自身缺乏安全意识,信息安全产品和设备不够先进,C
94,下面关于使用公共电脑的叙述中错误的是,不在未安装杀毒软件的公共电脑上登录个人账户,不在网吧等公共电脑上使用网上银行,离开电脑前要注销已登录的账户,在公共电脑中存放个人资料和账号信息,D
95,《中华人民共和国网络安全法》的立法方针是,积极利用、科学发展、依法管理、确保安全,确保个人信息安全,确保网络使用者安全,确保企业信息安全,A
96,《中华人民共和国网络安全法》适用于以下哪些活动,网络建设,网络运营，网络维护,网络使用,以上都对,D
97,《中华人民共和国网络安全法》是为了推动构建什么样的网络空间,和平，安全，开放，合作,多边，民主，透明,安全,打击网络安全违法,A
98,以下属于《网络安全法》规定的网络安全相关教育与培训内容的是,网络安全法条款解析,安全风险评估,Web 攻防,以上都是,D
99,《网络安全法》对于个人信息的描述，错误的是,任何个人和组织不得非法获取个人信息,任何个人和组织不得非法出售个人信息,任何个人和组织可以随意获得个人信息,非法获取个人信息的机构将进行处罚,C
100,当发生网络安全事件时，网络运营者应当首先第一步怎么做,立即启动网络安全应急预案,对网络安全事件进行调查和评估,网络运营者采取技术措施，消除隐患,向社会发布相关警示信息,A
101,《中华人民共和国数据安全法》于什么时间正式施行,2021年10月1日,2021年9月1日,2022年6月1日,2022年8月1日,B
102,《中华人民共和国个人信息保护法》于什么时间正式施行,2021年10月1日,2022年6月1日,2022年7月1日,2021年11月1日,D
103,制定《中华人民共和国数据安全法》的目的是为了规范数据处理活动，保障数据安全，促进数据安全，促进数据开发和利用，保护个人、组织的（），维护国家主权、安全和（）。,财产权益，发展利益,财产权益，长远利益,合法权益，发展利益,合法权益，长远利益,C
104,依据《中华人民共和国数据安全法》的相关规定，开展数据处理活动应当依照法律、法规的规定，建立健全（）管理制度,全流程数据安全,谁处理谁负责,风险评估,应急处理,A
105,根据《中华人民共和国数据安全法》规定，中央国家安全领导机构负责国家数据安全工作的决策和议事协调，研究制定、指导实施国家数据安全战略和有关重大方针政策，统筹协调国家数据安全的重大事项和重要工作，建立国家数据安全工作（）,保障机制,协调机制,公开机制,保密机制,B
106,根据《中华人民共和国数据安全法》规定，维护数据安全，应当坚持总体国家安全观，建立健全数据安全（），提高数据安全保障能力。,保障体系,治理体系,保密体系,运维体系,B
107,根据《中华人民共和国数据安全法》规定，数据处理，包括数据的收集、存储、使用、加工、传输、提供。（）等。,交易,公开,保密,共享,B
108,根据《中华人民共和国数据安全法》规定，本法所称数据，是指任何以电子或者其他方式对（）的记录。,信息,文字,数据,文件,A
109,《中华人民共和国数据安全法》是为了规范数据处理活动，保障数据安全，促进数据开发利用，保护个人、组织的合法权益，维护国家（），制度的法律。,主权、安全、发展利益,安全、权利、稳定,主权、安全、稳定发展,安全、权利、利益,A
110,根据《中华人民共和国数据安全法》规定，工业、电信、交通、金融、自然资源、卫生健康、教育、科技等主管部门承担本行业、本领域数据安全监管职责。公安机关、国家安全机关等依照本法和有关法律、行政法规的规定，在各自职责范围内承担数据安全管理职责。( ) 依照本法和有关法律、行政法规的规定，负责统筹协调网络数据安全和相关监管工作。,工业和信息化部,国家安全部门,国家网信部门,电信主管部门,C
111,《中华人民共和国个人信息保护法》是在（）全国人民代表大会常务委员会第三十次会议通过的。,第十一届,第十二届,第十三届,第十四届,C
112,《中华人民共和国个人信息保护法》对于企业的影响不包括,需要强化个人信息处理主体责任,明确了可以量化的中国版执行罚责,收集和处理数据时可以不遵循“最小化”原则,需要设立负责处理个人信息保护相关事务的专门机构和指定代表,C
113,以下哪条属于个人信息影响的评估场景,处理敏感个人信息，利用个人信息进行自动化决策,委托处理个人信息、向第三方提供个人信息、公开个人信息,向境外提供个人信息,以上都是,D
114,以下哪条不属于知情同意的实现方式,明示同意,口头同意,书面或电子协议同意,授权同意,B
115,按照我国刑法规定、非法获取、出售或者提供公民行踪轨迹信息、通信内容、征信信息、财产信息（ ）条以上的，将依法承担刑事责任。,50,100,200,500,A
116,个人信息是以电子或者其他方式记录与已识别或者可识别的自然人有关的各种信息，不包括,姓名,身份证号,手机号,匿名化处理后的信息,D
117,处理个人信息应当遵循（）原则，不得通过误导、欺诈、胁迫等方式处理个人信息。,合法、正当、必要和诚信,合理、正当、必要和诚信,合理、正当、充分和诚信,合法、正当、充分和诚信,A
118,处理个人信息应当具有明确、合理的目的，并应当与处理目的（）相关，采取对个人权益影响最小的方式。,间接,必须,完全,直接,D
119,处理个人信息应当遵循公开、透明原则，公开个人信息处理处理原则，（ ）处理的目的、方式和范围。,明确,确定,明示,暗示,C
120,处理个人信息应当保障个人信息的（），避免因个人信息不准确、不完整对个人权益造成不利影响。,质量,准确性,数量,可信度,A
121,基于个人同意处理个人信息的，个人（ ）撤回其同意，个人信息处理者应当提供（ ）。,有权；便捷的撤回同意的方式,无权；撤回之后的功能影响说明,有权；有效的撤回同意的方式,无权；撤回之后的功能影响说明,A
122,通过自动化决策方式向个人进行信息推送、商业营销，应当同时提供不针对其个人特征的选项，并向个人提供便捷的（ ）方式。,选择,实现,拒绝,查看,C
123,在公共场所安装图像采集、个人身份识别设备，应当为维护公共安全所必需，遵守国家有关规定，并设置显著提示标识。所收集的个人图像、身份识别信息只能用于（ ），不得用于其他目的；取得个人单独同意的除外。,维护公共安全的目的,维护信息安全的目的,维护公共安全的相关宣传,维护公共秩序,A
124,以下哪项不是个人在个人信息处理活动中的权利,知情权,删除权,转移权,继承权,D
125,小刘在浏览网站时发现网站预留的个人信息有误，此时，小刘可以要求该网站行使什么权利,说明解释权,转移权,更正、补充权,决定权,C
126,个人信息处理者的义务，不包括下列哪项,必要的安全控制措施,制定外部管理制度和操作规程,内部人员管理,制定并实施应急预案,B
127,个人信息保护影响评估报告和处理情况记录应当至少保存,三年,五年,二年,四年,A
128,（）负责统筹协调个人信息保护工作和相关监管管理工作,国家安全部门,国家网信部门,国家公安部,国务院,B
129,违反规定处理个人信息情节严重的由（ ）级别的履行个人信息保护职责的部门责令改正，没收违法所得。,省级以上,县级以上,市级以上,国务院,A
130,以下哪项是国家网信部门在个人信息保护方面的相关工作,监控预警应急处置,信息保护监督管理,统筹协调监督管理,制定计划实时保护,C
131,以下哪项不是提供重要互联网平台服务应当履行的义务,建立健全个人信息保护合规制度体系,成立主要由内部成员组成的独立机构,遵循公开、公平、公正的原则，制定平台规则,定期发布个人信息保护社会责任报告,B
132,2024 年国家网络安全宣传周时间是,7 月 9 日至 7 月 15 日,8 月 9 日至 8 月 15 日,9 月 9 日至 9 月 15 日,10 月 9 日至 10 月 15 日,C
133,国家秘密的保密期限，除另有规定外，绝密级不超过（ ）年,10 年,50 年,30 年,20 年,C
134,我国在信息系统安全保护方面制定的最早一部，也是最基本的一部法规是,《计算机信息网络国际联网安全保护管理办法》,《中华人民共和国计算机信息系统安全保护条例》,《计算机信息系统安全保护等级划分准则》,《信息安全等级保护管理办法》,B
135,恶意代码通常分为,病毒、木马、蠕虫、伪装程序、间谍软件,病毒、木马、蠕虫、僵尸程序、间谍软件、替代程序,病毒、木马、蠕虫、僵尸程序、间谍软件,病毒、木马、蠕虫、僵尸程序、读频软件,C
136,互联网及其他公共信息网络运营商、服务商应当配合公安机关、国家安全机关、检察机关对泄密案件进行调查;发现利用互联网及其它公共信息网络发布的信息涉及泄露国家秘密的，应当,继续传输但保存记录,保持正常运行,与有关部门协商后停止传输,立即停止传输,D
137,Windows 系统的用户管理配置中，有多项安全设置，其中密码和帐户锁定安全选项设置属于,帐户策略,公钥策略,本地策略,软件限制策略,A
138,违反《关键信息基础设施安全保护条例》第五条第二款和第三十一条规定，受到刑事处罚的人员，（）,终身不得从事网络安全管理和网络运营关键岗位的工作,处5日以上15日以下拘留，可以并处10万元以上100万元以下罚款,处5日以下拘留，可以并处5万元以上50万元以下罚款,5年内不得从事网络安全管理和网络运营关键岗位的工作,A
139,信息对抗是为消弱、破坏对方电子信息设备和信息的使用效能，保障己方电子信息设备和信息正常发挥效能而采取的综合技术措施，其主要研究内容有,通信对抗,雷达对抗,计算机网络对抗,以上都对,D
140,安全审计是保障计算机系统安全的重要手段之一，其作用不包括,保证可信网络内部信息不外泄,发现计算机的滥用情况,发现系统入侵行为和潜在的漏洞,检测对系统的入侵,B
141,《关键信息基础设施安全保护条例》规定，违反本条例第五条第二款和第三十一条规定，受到治安管理处罚的人员，（）不得从事网络安全管理和网络运营关键岗位的工作；,五年内,一年内,终身,十年内,A
142,根据《计算机信息系统国际联网保密管理规定》，涉及国家秘密的计算机信息系统，不得直接或间接地与国际互联网或其它公共信息网络相链接，必须实行（ ）。,逻辑隔离,安装防火墙,VLAN 划分,物理隔离,D
143,网络空间安全问题影响到我们每一个人，对于这个说法理解错误的是,信息系统支撑了电力、交通等基础设施的运转,网络空间是虚拟空间，网络安全问题目前对普通百姓来说仅仅是信息泄露问题,没有信息系统，不仅很多企业无法运营，我们每个人的生活都会受到极大影响,信息化技术已经与我们的生活息息相关，密不可分,B
144,《网络安全法》规定，国家采取措施（ ）来源于中华人民共和国境内外的网络安全风险和威胁，保护关键信息基础设施免受攻击、侵入、干扰和破坏。下列选项中不属于括号内的答案为：,隔离,处置,监测,防御,A
145,《关键信息基础设施安全保护条例》规定，运营者发生（ ）情况，应当及时报告保护工作部门，并按照保护工作部门的要求对关键信息基础设施进行处置，确保安全。,合并、人事调动、解散,人事调动、分立、解散,合并、分立、解散,合并、分立、人事调动,C
